name,pos,team
Peyton Manning,qb,hoover-bill
Aaron Rodgers,qb,neel
Drew Brees,qb,jake-rick
Matthew Stafford,qb,bentons
Andrew Luck,qb,byron-kain
Cam Newton,qb,yackel
Robert Griffin III,qb,hardy
Nick Foles,qb,polzin
Colin Kaepernick,qb,byron-kain
Russell Wilson,qb,yackel
Matt Ryan,qb,polzin
Tom Brady,qb,josh frank
Tony Romo,qb,josh frank
Philip Rivers,qb,neel
Jay Cutler,qb,uzi-rich
Ben Roethlisberger,qb,neel
Carson Palmer,qb,uzi-rich
Adrian Peterson,rb,hoover-bill
Jamaal Charles,rb,hardy
LeSean McCoy,rb,uzi-rich
Matt Forte,rb,bentons
Marshawn Lynch,rb,jake-rick
Eddie Lacy,rb,jake-rick
DeMarco Murray,rb,polzin
Doug Martin,rb,uzi-rich
Le'Veon Bell,rb,byron-kain
Arian Foster,rb,neel
Montee Ball,rb,polzin
Giovani Bernard,rb,hardy
Reggie Bush,rb,jake-rick
Zac Stacy,rb,josh frank
Ben Tate,rb,josh frank
Alfred Morris,rb,neel
Andre Ellington,rb,hoover-bill
Trent Richardson,rb,jake-rick
Ray Rice,rb,byron-kain
C.J. Spiller,rb,yackel
Shane Vereen,rb,josh frank
Ryan Mathews,rb,polzin
Frank Gore,rb,neel
Chris Johnson,rb,bentons
Joique Bell,rb,uzi-rich
Toby Gerhart,rb,hardy
Rashad Jennings,rb,yackel
Steven Jackson,rb,polzin
Pierre Thomas,rb,bentons
Stevan Ridley,rb,bentons
Danny Woodhead,rb,hoover-bill
Bishop Sankey,rb,hardy
Darren Sproles,rb,bentons
Maurice Jones-Drew,rb,hardy
Fred Jackson,rb,hoover-bill
DeAngelo Williams,rb,byron-kain
Knowshon Moreno,rb,yackel
Lamar Miller,rb,uzi-rich
Khiry Robinson,rb,hoover-bill
Bernard Pierce,rb,hoover-bill
Chris Ivory,rb,hardy
Darren McFadden,rb,neel
Jeremy Hill,rb,jake-rick
Shonn Greene,rb,bentons
Roy Helu,rb,neel
Donald Brown,rb,neel
Terrance West,rb,neel
Mark Ingram,rb,byron-kain
Carlos Hyde,rb,byron-kain
Christine Michael,rb,neel
Knile Davis,rb,neel
James Starks,rb,polzin
Jonathan Stewart,rb,josh frank
LeGarrette Blount,rb,josh frank
Andre Williams,rb,neel
Ahmad Bradshaw,rb,neel
Lance Dunbar,rb,neel
Mike Tolbert,rb,neel
Jimmy Graham,te,hardy
Julius Thomas,te,jake-rick
Rob Gronkowski,te,josh frank
Vernon Davis,te,byron-kain
Jordan Cameron,te,polzin
Jason Witten,te,neel
Dennis Pitta,te,yackel
Greg Olsen,te,jake-rick
Jordan Reed,te,yackel
Kyle Rudolph,te,bentons
Martellus Bennett,te,hoover-bill
Delanie Walker,te,neel
Zach Ertz,te,uzi-rich
Antonio Gates,te,neel
Calvin Johnson,wr,neel
Dez Bryant,wr,yackel
A.J. Green,wr,josh frank
Brandon Marshall,wr,byron-kain
Julio Jones,wr,uzi-rich
Antonio Brown,wr,yackel
Jordy Nelson,wr,bentons
Alshon Jeffery,wr,polzin
Andre Johnson,wr,hoover-bill
Randall Cobb,wr,josh frank
Vincent Jackson,wr,josh frank
Larry Fitzgerald,wr,bentons
Pierre Garcon,wr,hardy
Keenan Allen,wr,polzin
Victor Cruz,wr,neel
Roddy White,wr,polzin
Michael Crabtree,wr,byron-kain
Julian Edelman,wr,bentons
DeSean Jackson,wr,jake-rick
Reggie Wayne,wr,neel
Percy Harvin,wr,hardy
Cordarrelle Patterson,wr,jake-rick
Golden Tate,wr,bentons
Michael Floyd,wr,josh frank
T.Y. Hilton,wr,polzin
Torrey Smith,wr,byron-kain
Emmanuel Sanders,wr,josh frank
Kendall Wright,wr,jake-rick
Jeremy Maclin,wr,uzi-rich
Marques Colston,wr,byron-kain
Mike Wallace,wr,hoover-bill
Eric Decker,wr,yackel
Sammy Watkins,wr,byron-kain
Wes Welker,wr,bentons
Terrance Williams,wr,hoover-bill
Anquan Boldin,wr,neel
Cecil Shorts,wr,neel
DeAndre Hopkins,wr,hardy
Riley Cooper,wr,uzi-rich
Danny Amendola,wr,neel
Greg Jennings,wr,jake-rick
Dwayne Bowe,wr,hoover-bill
Steve Smith,wr,uzi-rich
Mike Evans,wr,hoover-bill
Hakeem Nicks,wr,jake-rick
James Jones,wr,josh frank
Justin Hunter,wr,hoover-bill
Markus Wheaton,wr,jake-rick
Jarrett Boykin,wr,neel
Rueben Randle,wr,yackel
Andrew Hawkins,wr,neel
Brandin Cooks,wr,byron-kain
Tavon Austin,wr,uzi-rich
Brian Hartline,wr,neel
Doug Baldwin,wr,neel
Steve Johnson,wr,neel
Kelvin Benjamin,wr,bentons
Marqise Lee,wr,hardy
Kenny Stills,wr,hardy
Seattle Seahawk,def,neel
San Franciso 49ERS,def,byron-kain
Denver Bronco,def,uzi-rich
Arizona Cardinal,def,neel
Carolina Panther,def,hoover-bill
Cincinnati Bengal,def,hardy
St. Louis Rams,def,yackel
Kansas City Cheifs,def,josh frank
New England Patriots,def,bentons
Tampa Bay Buccaneers,def,jake-rick
Stephen Gostkowski,k,yackel
Justin Tucker,k,josh frank
Mason Crosby,k,bentons
Steven Hauschka,k,uzi-rich
Phil Dawson,k,polzin
Nick Novak,k,hardy
Adam Vinatieri,k,polzin
Robbie Gould,k,neel
Dan Bailey,k,jake-rick
Nick Folk,k,uzi-rich
